msisdn_crypte,Recency,Frequency,Monetary,Tenure_Months,Nb_Offers_Distinctes,Main_Offer,R_score,F_score,M_score,RFM_Score,RFM_Total,RFM_Weighted,Segment,Segment_Avance,Valeur,Life_Time,Montant_Moyen_Par_Achat,Frequency_Par_Mois,Monetary_Par_Mois,Cluster_KMeans,Churned,Churn_Proba,PC1,PC2
DEMO_00137,9,6,53.15,13.4,1,Demo Flex,5,4,3,543,12,3.7,Client fidèle,Champions,Valeur moyenne,10.5,8.86,0.446,3.95,2,1,0.1224,0.7287,-0.665
DEMO_00138,36,3,91.83,21.2,1,Demo Start,2,2,5,225,9,3.5,Client à risque,Clients hibernants,Forte valeur,21.4,30.61,0.141,4.32,3,1,0.1617,0.3925,0.2235
DEMO_00139,7,6,44.81,55.6,1,Demo Connect,5,4,3,543,12,3.7,Client fidèle,Champions,Valeur moyenne,52.1,7.47,0.108,0.81,2,0,0.0344,0.6474,1.5228
DEMO_00140,25,6,95.3,13.0,1,Demo Max,3,4,5,345,12,4.3,Client fidèle,Clients fidèles,Forte valeur,12.4,15.88,0.461,7.33,2,0,0.1535,1.0758,-0.7419
DEMO_00141,44,6,108.52,26.8,4,Demo Max,1,4,5,145,10,3.9,Client moyen,Ne doit pas les perdre,Forte valeur,25.8,18.09,0.224,4.04,1,0,0.2775,0.556,0.6287
DEMO_00142,33,5,37.44,45.7,2,Demo Max,2,3,3,233,8,2.8,Client moyen,Clients à risque,Valeur moyenne,46.7,7.49,0.109,0.82,3,0,0.1473,0.1818,1.5849
DEMO_00143,6,3,19.89,30.7,2,Demo Max,5,2,1,521,8,2.1,Client moyen,Clients prometteurs,Faible valeur,34.7,6.63,0.098,0.65,3,0,0.0193,-0.3612,0.5312
DEMO_00144,10,5,74.98,39.7,1,Demo Max,5,3,4,534,12,3.9,Client fidèle,Clients à risque,Forte valeur,35.8,15.0,0.126,1.89,0,0,0.1129,0.3607,0.4095
DEMO_00145,33,1,13.68,9.7,2,Demo Max,2,1,1,211,4,1.2,Client à risque,Clients hibernants,Faible valeur,14.3,13.68,0.103,1.41,3,1,0.2832,-1.2315,0.2781
DEMO_00146,87,4,18.37,26.9,2,Demo Start,1,2,1,121,4,1.3,Client à risque,Clients hibernants,Faible valeur,26.4,4.59,0.149,0.68,1,0,0.3961,-1.5638,-0.7238
DEMO_00147,21,2,10.72,18.5,1,Demo Max,3,1,1,311,5,1.4,Client moyen,Clients à développer,Faible valeur,19.2,5.36,0.108,0.58,3,0,0.2017,-1.3531,0.1989
DEMO_00148,45,5,12.36,19.1,1,Demo Plus,1,3,1,131,5,1.6,Client moyen,Clients à risque,Faible valeur,16.3,2.47,0.262,0.65,1,0,0.2623,-1.2669,0.0608
DEMO_00149,33,11,152.22,52.8,1,Demo Max,2,5,5,255,12,4.4,Client moyen,Ne doit pas les perdre,Forte valeur,54.8,13.84,0.208,2.88,2,0,0.0827,2.4999,0.3211
DEMO_00150,13,6,51.82,19.3,1,Demo Max,4,4,3,443,11,3.5,Client fidèle,Champions,Valeur moyenne,19.4,8.64,0.311,2.69,2,0,0.1654,0.0006,0.077
DEMO_00151,46,3,27.37,27.4,3,Demo Start,1,2,2,122,5,1.8,Client à risque,Clients hibernants,Faible valeur,27.3,9.12,0.109,1.0,1,0,0.1311,-0.6297,0.2983
DEMO_00152,4,2,7.87,5.2,2,Demo Flex,5,1,1,511,7,1.8,Client moyen,Clients prometteurs,Faible valeur,1.3,3.93,0.387,1.52,3,0,0.1027,-1.5901,-0.8638
DEMO_00153,43,9,49.07,59.9,1,Demo Plus,2,5,3,253,10,3.4,Client moyen,Ne doit pas les perdre,Valeur moyenne,60.0,5.45,0.15,0.82,1,0,0.1262,0.831,1.6506
DEMO_00154,34,6,46.01,38.3,3,Demo Max,2,4,3,243,9,3.1,Client moyen,Ne doit pas les perdre,Valeur moyenne,40.0,7.67,0.157,1.2,2,1,0.1004,0.1115,0.0288
DEMO_00155,14,2,13.78,21.8,1,Demo Flex,4,1,1,411,6,1.6,Client moyen,Clients prometteurs,Faible valeur,21.3,6.89,0.092,0.63,3,0,0.1296,-1.6191,0.5384
DEMO_00156,8,4,42.57,18.0,1,Demo Max,5,2,3,523,10,3.1,Client moyen,Clients prometteurs,Valeur moyenne,20.3,10.64,0.222,2.37,3,0,0.161,-0.0068,-1.1156
DEMO_00157,15,8,109.99,32.6,3,Demo Flex,4,5,5,455,14,4.8,Champion,Champions,Forte valeur,34.9,13.75,0.245,3.37,0,0,0.1488,1.842,0.1857
DEMO_00158,12,2,69.51,45.4,3,Demo Start,4,1,4,414,9,3.1,Client moyen,Clients prometteurs,Forte valeur,44.1,34.75,0.044,1.53,3,0,0.1185,0.1028,1.2591
DEMO_00159,18,10,98.65,60.4,2,Demo Start,4,5,5,455,14,4.8,Champion,Champions,Forte valeur,63.6,9.86,0.166,1.63,0,0,0.0357,1.4437,0.8978
DEMO_00160,17,11,202.63,37.6,1,Demo Max,4,5,5,455,14,4.8,Champion,Champions,Forte valeur,37.6,18.42,0.293,5.4,0,0,0.0489,2.2432,0.1646
DEMO_00161,14,2,12.64,23.7,4,Demo Start,4,1,1,411,6,1.6,Client moyen,Clients prometteurs,Faible valeur,23.8,6.32,0.084,0.53,3,0,0.1207,-1.0273,0.2005
DEMO_00162,4,4,15.88,41.1,2,Demo Start,5,2,1,521,8,2.1,Client moyen,Clients prometteurs,Faible valeur,41.3,3.97,0.097,0.39,3,0,0.0686,0.0659,1.3161
DEMO_00163,7,9,73.96,36.6,2,Demo Start,5,5,4,554,14,4.5,Champion,Champions,Forte valeur,36.7,8.22,0.246,2.02,0,0,0.0573,0.7209,0.3945
DEMO_00164,51,5,20.71,23.7,1,Demo Plus,1,3,1,131,5,1.6,Client moyen,Clients à risque,Faible valeur,18.5,4.14,0.211,0.87,1,1,0.412,-0.0824,0.1469
DEMO_00165,14,4,40.22,36.0,1,Demo Connect,4,2,3,423,9,2.9,Client moyen,Clients prometteurs,Valeur moyenne,35.6,10.06,0.111,1.12,3,0,0.0987,0.076,0.7368
DEMO_00166,19,8,51.95,35.5,2,Demo Start,4,5,3,453,12,3.8,Client fidèle,Champions,Valeur moyenne,32.8,6.49,0.225,1.46,2,0,0.1194,0.9951,-0.0203
DEMO_00167,16,5,17.02,21.7,3,Demo Plus,4,3,1,431,8,2.2,Client fidèle,Clients à risque,Faible valeur,24.9,3.4,0.231,0.79,3,0,0.1591,-0.7108,-0.2881
DEMO_00168,64,5,129.57,15.7,2,Demo Connect,1,3,5,135,9,3.6,Client moyen,Clients à risque,Forte valeur,18.9,25.91,0.318,8.24,1,1,0.3184,0.2025,-0.3152
DEMO_00169,12,5,37.11,33.7,1,Demo Connect,4,3,3,433,10,3.2,Client fidèle,Clients à risque,Valeur moyenne,35.4,7.42,0.148,1.1,3,0,0.2362,0.2216,0.324
DEMO_00170,11,4,16.21,10.6,2,Demo Start,5,2,1,521,8,2.1,Client moyen,Clients prometteurs,Faible valeur,10.1,4.05,0.378,1.53,3,0,0.0744,-1.0345,-0.0659
DEMO_00171,35,6,98.08,8.8,1,Demo Connect,2,4,5,245,11,4.1,Client moyen,Ne doit pas les perdre,Forte valeur,6.8,16.35,0.679,11.09,2,1,0.1439,0.4067,-0.8012
DEMO_00172,27,7,46.77,27.7,1,Demo Start,3,4,3,343,10,3.3,Client fidèle,Clients fidèles,Valeur moyenne,26.4,6.68,0.253,1.69,2,1,0.0869,0.7992,0.0977
DEMO_00173,36,6,109.0,33.1,1,Demo Flex,2,4,5,245,11,4.1,Client moyen,Ne doit pas les perdre,Forte valeur,37.0,18.17,0.181,3.29,2,1,0.2629,0.2198,-0.3536
DEMO_00174,34,5,33.32,27.6,1,Demo Start,2,3,2,232,7,2.3,Client moyen,Clients à risque,Valeur moyenne,26.2,6.66,0.181,1.21,3,0,0.2082,-0.2,0.5441
DEMO_00175,47,9,66.67,29.5,2,Demo Plus,1,5,4,154,10,3.7,Client moyen,Ne doit pas les perdre,Forte valeur,24.8,7.41,0.305,2.26,1,1,0.1519,0.5109,-0.4476
DEMO_00176,6,6,72.34,32.8,1,Demo Plus,5,4,4,544,13,4.2,Champion,Champions,Forte valeur,34.8,12.06,0.183,2.21,0,0,0.0527,0.6401,-0.2076
DEMO_00177,32,10,138.22,52.9,1,Demo Flex,2,5,5,255,12,4.4,Client moyen,Ne doit pas les perdre,Forte valeur,55.9,13.82,0.189,2.61,2,0,0.1868,2.3709,1.5387
DEMO_00178,11,9,136.99,38.0,3,Demo Start,4,5,5,455,14,4.8,Champion,Champions,Forte valeur,41.3,15.22,0.237,3.61,0,0,0.089,1.5792,0.5185
DEMO_00179,2,8,75.95,37.3,2,Demo Plus,5,5,4,554,14,4.5,Champion,Champions,Forte valeur,39.3,9.49,0.215,2.04,0,1,0.1137,1.0215,0.7109
DEMO_00180,34,3,40.02,26.4,1,Demo Flex,2,2,3,223,7,2.5,Client à risque,Clients hibernants,Valeur moyenne,28.8,13.34,0.114,1.52,3,0,0.1615,-0.5943,0.4656
DEMO_00181,32,4,60.12,27.0,1,Demo Start,2,2,4,224,8,3.0,Client à risque,Clients hibernants,Valeur moyenne,27.1,15.03,0.148,2.23,3,0,0.1865,-0.2684,0.1496
DEMO_00182,23,5,55.69,20.5,2,Demo Connect,3,3,4,334,10,3.5,Client fidèle,Clients à développer,Valeur moyenne,16.4,11.14,0.244,2.71,3,0,0.1442,0.2815,-0.3315
DEMO_00183,47,4,36.89,28.9,1,Demo Plus,1,2,3,123,6,2.3,Client à risque,Clients hibernants,Valeur moyenne,29.0,9.22,0.138,1.27,1,0,0.1656,-0.6284,0.6324
DEMO_00184,11,3,13.51,10.2,1,Demo Start,4,2,1,421,7,1.9,Client moyen,Clients prometteurs,Faible valeur,11.4,4.5,0.295,1.33,3,0,0.1074,-0.8965,0.0237
DEMO_00185,38,8,110.94,53.1,1,Demo Start,2,5,5,255,12,4.4,Client moyen,Ne doit pas les perdre,Forte valeur,52.8,13.87,0.151,2.09,1,0,0.0797,1.0179,0.9712
DEMO_00186,20,2,20.42,12.4,1,Demo Plus,3,1,1,311,5,1.4,Client moyen,Clients à développer,Faible valeur,12.0,10.21,0.161,1.65,3,0,0.1731,-1.2327,0.6483
DEMO_00187,22,3,23.83,37.9,2,Demo Start,3,2,2,322,7,2.2,Client moyen,Clients à développer,Faible valeur,36.0,7.94,0.079,0.63,3,1,0.1528,-0.4974,0.7053
DEMO_00188,3,9,181.27,49.1,1,Demo Max,5,5,5,555,15,5.0,Champion,Champions,Forte valeur,47.1,20.14,0.183,3.69,0,0,0.0859,2.2617,0.0938
DEMO_00189,48,7,31.84,37.8,1,Demo Max,1,4,2,142,7,2.4,Client moyen,Ne doit pas les perdre,Valeur moyenne,41.5,4.55,0.185,0.84,1,0,0.2322,-0.4908,-0.3775
DEMO_00190,31,15,369.54,72.0,1,Demo Plus,2,5,5,255,12,4.4,Client moyen,Ne doit pas les perdre,Forte valeur,72.0,24.64,0.208,5.13,2,0,0.0807,3.8681,0.4252
DEMO_00191,37,1,9.85,3.9,1,Demo Plus,2,1,1,211,4,1.2,Client à risque,Clients hibernants,Faible valeur,3.9,9.85,0.256,2.52,1,0,0.3784,-2.0843,-0.7643
DEMO_00192,10,4,47.51,16.5,1,Demo Flex,5,2,3,523,10,3.1,Client moyen,Clients prometteurs,Valeur moyenne,17.0,11.88,0.243,2.89,3,1,0.1432,0.6152,-0.3992
DEMO_00193,29,5,40.13,48.7,3,Demo Plus,3,3,3,333,9,3.0,Client fidèle,Clients à développer,Valeur moyenne,46.7,8.03,0.103,0.82,3,0,0.1943,0.3292,1.4001
DEMO_00194,20,1,3.99,8.6,1,Demo Max,3,1,1,311,5,1.4,Client moyen,Clients à développer,Faible valeur,9.8,3.99,0.117,0.47,3,0,0.2637,-1.9322,-0.376
DEMO_00195,33,5,46.18,12.7,1,Demo Connect,2,3,3,233,8,2.8,Client moyen,Clients à risque,Valeur moyenne,16.2,9.24,0.394,3.64,3,0,0.1626,0.182,-0.1875
DEMO_00196,28,8,95.92,31.5,1,Demo Start,3,5,5,355,13,4.6,Client fidèle,Clients fidèles,Forte valeur,28.5,11.99,0.254,3.04,2,0,0.1422,1.1367,0.0261
DEMO_00197,73,1,14.47,23.5,2,Demo Max,1,1,1,111,3,1.0,Client à risque,Clients hibernants,Faible valeur,24.4,14.47,0.043,0.62,1,0,0.4758,-2.4467,0.3323
DEMO_00198,58,5,44.72,30.3,1,Demo Connect,1,3,3,133,7,2.6,Client moyen,Clients à risque,Valeur moyenne,31.4,8.94,0.165,1.48,1,0,0.1659,-0.6492,-0.0135
DEMO_00199,18,2,5.97,24.8,3,Demo Max,4,1,1,411,6,1.6,Client moyen,Clients prometteurs,Faible valeur,25.9,2.99,0.081,0.24,3,0,0.0781,-2.6576,0.9285
DEMO_00200,34,6,25.63,26.3,2,Demo Connect,2,4,2,242,8,2.6,Client moyen,Ne doit pas les perdre,Faible valeur,29.6,4.27,0.228,0.97,2,0,0.0911,-0.1489,-0.7267
DEMO_00201,17,5,154.17,13.6,1,Demo Plus,4,3,5,435,12,4.2,Client fidèle,Clients à risque,Forte valeur,17.7,30.83,0.367,11.31,0,0,0.1141,1.3269,-0.3882
DEMO_00202,46,3,16.41,25.8,2,Demo Max,1,2,1,121,4,1.3,Client à risque,Clients hibernants,Faible valeur,25.3,5.47,0.116,0.64,1,0,0.1916,-1.1987,0.1518
DEMO_00203,21,3,65.59,17.2,1,Demo Plus,3,2,4,324,9,3.2,Client moyen,Clients à développer,Forte valeur,18.6,21.86,0.174,3.8,3,0,0.0751,0.0827,0.1921
DEMO_00204,15,5,29.84,18.9,3,Demo Start,4,3,2,432,9,2.7,Client fidèle,Clients à risque,Faible valeur,19.1,5.97,0.265,1.58,3,0,0.1153,0.1453,-0.2899
DEMO_00205,28,9,81.2,37.6,3,Demo Connect,3,5,4,354,12,4.1,Client fidèle,Clients fidèles,Forte valeur,36.3,9.02,0.239,2.16,2,0,0.1116,0.6663,0.1918
DEMO_00206,55,2,28.13,8.2,1,Demo Plus,1,1,2,112,4,1.5,Client à risque,Clients hibernants,Faible valeur,8.8,14.07,0.243,3.43,1,1,0.4234,-1.788,-0.5978
DEMO_00207,49,1,6.35,2.6,2,Demo Connect,1,1,1,111,3,1.0,Client à risque,Nouveaux clients,Faible valeur,3.9,6.35,0.391,2.48,1,1,0.5085,-3.4608,-0.0132
DEMO_00208,16,4,95.78,35.9,1,Demo Max,4,2,5,425,11,3.9,Client moyen,Clients prometteurs,Forte valeur,36.4,23.94,0.111,2.67,0,0,0.1173,0.6535,0.6052
DEMO_00209,69,4,41.59,25.8,1,Demo Connect,1,2,3,123,6,2.3,Client à risque,Clients hibernants,Valeur moyenne,24.0,10.4,0.155,1.61,1,0,0.2587,-1.2621,1.022
DEMO_00210,10,11,141.37,49.1,2,Demo Connect,5,5,5,555,15,5.0,Champion,Champions,Forte valeur,48.2,12.85,0.224,2.88,0,0,0.0863,1.9667,0.6449
DEMO_00211,13,1,8.61,12.9,3,Demo Max,4,1,1,411,6,1.6,Client moyen,Clients prometteurs,Faible valeur,12.0,8.61,0.077,0.67,3,0,0.1306,-1.5836,-0.1511
DEMO_00212,45,4,57.32,21.2,1,Demo Connect,1,2,4,124,7,2.8,Client à risque,Clients hibernants,Valeur moyenne,19.5,14.33,0.188,2.7,1,0,0.1935,-0.4235,-0.14
DEMO_00213,2,8,190.14,24.1,2,Demo Flex,5,5,5,555,15,5.0,Champion,Champions,Forte valeur,24.7,23.77,0.332,7.9,0,0,0.0501,1.6843,-0.083
DEMO_00214,24,1,9.28,14.8,2,Demo Max,3,1,1,311,5,1.4,Client moyen,Clients à développer,Faible valeur,15.7,9.28,0.067,0.63,3,0,0.1347,-0.9466,-0.3379
DEMO_00215,18,5,129.12,11.8,1,Demo Max,4,3,5,435,12,4.2,Client fidèle,Clients à risque,Forte valeur,13.7,25.82,0.425,10.99,0,0,0.1161,1.0565,-0.5447
DEMO_00216,72,2,14.25,37.0,2,Demo Start,1,1,1,111,3,1.0,Client à risque,Clients hibernants,Faible valeur,35.3,7.13,0.054,0.38,1,0,0.4182,-2.6207,0.8567
DEMO_00217,8,3,45.55,7.6,2,Demo Start,5,2,3,523,10,3.1,Client moyen,Clients prometteurs,Valeur moyenne,6.4,15.18,0.396,6.01,3,1,0.1342,-0.1787,-0.4595
DEMO_00218,9,2,26.11,10.3,2,Demo Plus,5,1,2,512,8,2.3,Client moyen,Clients prometteurs,Faible valeur,13.4,13.05,0.194,2.53,3,0,0.2269,-0.645,-0.2225
DEMO_00219,79,2,11.08,20.7,4,Demo Plus,1,1,1,111,3,1.0,Client à risque,Clients hibernants,Faible valeur,20.4,5.54,0.096,0.53,1,0,0.4884,-2.6289,0.2818
DEMO_00220,18,5,56.09,39.7,1,Demo Start,4,3,4,434,11,3.7,Client fidèle,Clients à risque,Valeur moyenne,39.8,11.22,0.126,1.41,3,0,0.1157,0.8253,0.723
DEMO_00221,53,6,60.09,15.5,1,Demo Max,1,4,4,144,9,3.4,Client moyen,Ne doit pas les perdre,Valeur moyenne,15.2,10.01,0.386,3.87,1,0,0.2253,-0.0948,0.1721
DEMO_00222,16,1,6.24,14.2,1,Demo Max,4,1,1,411,6,1.6,Client moyen,Clients prometteurs,Faible valeur,16.4,6.24,0.071,0.44,3,0,0.09,-1.3387,0.0861
DEMO_00223,13,5,60.72,19.9,1,Demo Max,4,3,4,434,11,3.7,Client fidèle,Clients à risque,Valeur moyenne,22.3,12.14,0.251,3.05,3,0,0.0812,0.3873,0.9401
DEMO_00224,55,4,43.24,28.6,1,Demo Connect,1,2,3,123,6,2.3,Client à risque,Clients hibernants,Valeur moyenne,30.8,10.81,0.14,1.51,1,0,0.1922,-0.5548,0.2868
DEMO_00225,92,5,47.92,17.9,3,Demo Connect,1,3,3,133,7,2.6,Client moyen,Clients à risque,Valeur moyenne,17.9,9.58,0.28,2.68,1,0,0.2233,-0.7834,0.1044
DEMO_00226,58,4,38.42,42.8,1,Demo Connect,1,2,3,123,6,2.3,Client à risque,Clients hibernants,Valeur moyenne,41.1,9.6,0.093,0.9,1,0,0.1626,-0.4401,0.5961
DEMO_00227,15,9,85.43,43.9,2,Demo Max,4,5,4,454,13,4.3,Champion,Champions,Forte valeur,47.8,9.49,0.205,1.94,0,0,0.1519,1.8995,1.1109
DEMO_00228,23,5,40.74,20.7,1,Demo Start,3,3,3,333,9,3.0,Client fidèle,Clients à développer,Valeur moyenne,22.5,8.15,0.241,1.96,3,0,0.1477,-0.0745,-0.5119
DEMO_00229,10,14,150.8,66.6,1,Demo Connect,5,5,5,555,15,5.0,Champion,Champions,Forte valeur,65.6,10.77,0.21,2.27,0,0,0.0456,2.8344,1.2371
DEMO_00230,11,2,14.0,23.7,2,Demo Start,4,1,1,411,6,1.6,Client moyen,Clients prometteurs,Faible valeur,26.6,7.0,0.084,0.59,3,0,0.125,-1.9926,0.1193
DEMO_00231,11,12,516.02,43.0,2,Demo Start,4,5,5,455,14,4.8,Champion,Champions,Forte valeur,42.0,43.0,0.279,11.99,0,0,0.0304,3.4536,0.347
DEMO_00232,16,3,13.78,28.1,1,Demo Plus,4,2,1,421,7,1.9,Client moyen,Clients prometteurs,Faible valeur,30.9,4.59,0.107,0.49,3,0,0.1227,-0.68,0.234
DEMO_00233,26,4,28.92,27.7,3,Demo Max,3,2,2,322,7,2.2,Client moyen,Clients à développer,Faible valeur,30.7,7.23,0.144,1.04,3,0,0.2137,-0.1685,-0.1294
DEMO_00234,24,1,7.55,6.2,1,Demo Flex,3,1,1,311,5,1.4,Client moyen,Clients à développer,Faible valeur,4.3,7.55,0.162,1.22,3,1,0.1651,-2.0217,-0.5958
DEMO_00235,40,6,183.83,9.7,1,Demo Start,2,4,5,245,11,4.1,Client moyen,Ne doit pas les perdre,Forte valeur,10.8,30.64,0.621,19.03,1,0,0.1018,1.7106,-0.1116
DEMO_00236,27,3,14.48,18.5,1,Demo Flex,3,2,1,321,6,1.7,Client moyen,Clients à développer,Faible valeur,20.1,4.83,0.162,0.78,3,0,0.1294,-1.3591,0.1102
DEMO_00237,37,6,75.64,43.7,2,Demo Start,2,4,4,244,10,3.6,Client moyen,Ne doit pas les perdre,Forte valeur,49.0,12.61,0.137,1.73,1,0,0.2283,0.1732,0.1871
DEMO_00238,42,7,80.04,28.3,1,Demo Plus,2,4,4,244,10,3.6,Client moyen,Ne doit pas les perdre,Forte valeur,26.8,11.43,0.247,2.83,1,1,0.1932,0.3874,0.45
DEMO_00239,15,7,83.88,18.6,3,Demo Plus,4,4,4,444,12,4.0,Champion,Champions,Forte valeur,21.5,11.98,0.375,4.5,0,0,0.0583,0.699,-0.8903
DEMO_00240,21,3,59.06,33.3,1,Demo Plus,3,2,4,324,9,3.2,Client moyen,Clients à développer,Valeur moyenne,33.4,19.69,0.09,1.77,3,0,0.2749,0.2609,0.9172
DEMO_00241,150,4,77.87,42.8,1,Demo Flex,1,2,4,124,7,2.8,Client à risque,Clients hibernants,Forte valeur,40.3,19.47,0.094,1.82,1,1,0.6535,-1.8908,1.1682
DEMO_00242,14,8,62.27,22.8,3,Demo Start,4,5,4,454,13,4.3,Champion,Champions,Valeur moyenne,22.5,7.78,0.351,2.74,2,0,0.0876,1.242,-0.1205
DEMO_00243,39,5,55.49,26.2,1,Demo Start,2,3,4,234,9,3.3,Client moyen,Clients à risque,Valeur moyenne,26.2,11.1,0.191,2.12,1,0,0.1174,-0.1735,0.8903
DEMO_00244,7,3,10.73,24.1,1,Demo Start,5,2,1,521,8,2.1,Client moyen,Clients prometteurs,Faible valeur,22.0,3.58,0.125,0.45,3,0,0.0588,-1.0957,-0.2173
DEMO_00245,43,7,73.73,21.8,1,Demo Flex,2,4,4,244,10,3.6,Client moyen,Ne doit pas les perdre,Forte valeur,22.4,10.53,0.321,3.38,1,1,0.1596,-0.2964,-0.0678
DEMO_00246,12,4,25.78,12.8,1,Demo Connect,4,2,2,422,8,2.4,Client moyen,Clients prometteurs,Faible valeur,14.8,6.45,0.312,2.01,3,0,0.1417,-0.1858,0.1054
DEMO_00247,24,10,90.02,12.1,1,Demo Max,3,5,4,354,12,4.1,Client fidèle,Clients fidèles,Forte valeur,12.6,9.0,0.826,7.43,2,0,0.2114,1.5088,-1.3762
DEMO_00248,22,4,15.79,33.2,1,Demo Max,3,2,1,321,6,1.7,Client moyen,Clients à développer,Faible valeur,32.1,3.95,0.121,0.48,3,0,0.0999,-1.2899,0.1425
DEMO_00249,23,10,124.62,43.2,2,Demo Connect,3,5,5,355,13,4.6,Client fidèle,Clients fidèles,Forte valeur,42.9,12.46,0.231,2.88,2,0,0.0627,1.7393,0.2212
DEMO_00250,20,10,39.23,18.6,1,Demo Plus,3,5,3,353,11,3.6,Client fidèle,Clients fidèles,Valeur moyenne,18.6,3.92,0.537,2.11,2,0,0.1345,0.7764,-0.6399
DEMO_00251,33,8,86.57,18.3,1,Demo Start,2,5,4,254,11,3.9,Client moyen,Ne doit pas les perdre,Forte valeur,18.8,10.82,0.436,4.72,2,0,0.1865,1.569,-1.2372
DEMO_00252,52,3,15.24,4.8,2,Demo Max,1,2,1,121,4,1.3,Client à risque,Clients hibernants,Faible valeur,7.0,5.08,0.63,3.2,1,0,0.3051,-2.025,-0.4875
DEMO_00253,9,2,12.5,4.0,1,Demo Plus,5,1,1,511,7,1.8,Client moyen,Clients prometteurs,Faible valeur,4.5,6.25,0.505,3.15,3,0,0.1346,-1.0569,-1.3077
DEMO_00254,20,3,56.47,50.0,2,Demo Plus,3,2,4,324,9,3.2,Client moyen,Clients à développer,Valeur moyenne,47.2,18.82,0.06,1.13,3,0,0.0946,-0.3717,1.9356
DEMO_00255,3,4,55.13,13.5,2,Demo Plus,5,2,3,523,10,3.1,Client moyen,Clients prometteurs,Valeur moyenne,12.3,13.78,0.297,4.09,3,0,0.0926,0.2811,-0.2013
DEMO_00256,27,9,168.9,72.0,1,Demo Plus,3,5,5,355,13,4.6,Client fidèle,Clients fidèles,Forte valeur,72.0,18.77,0.125,2.35,2,0,0.0759,1.8891,2.6372
DEMO_00257,9,4,94.08,15.2,1,Demo Plus,5,2,5,525,12,4.1,Client moyen,Clients prometteurs,Forte valeur,17.5,23.52,0.262,6.17,0,0,0.1517,0.7456,-0.0496
DEMO_00258,23,2,13.04,6.4,1,Demo Plus,3,1,1,311,5,1.4,Client moyen,Clients à développer,Faible valeur,8.9,6.52,0.315,2.05,3,1,0.3455,-1.4066,-0.7009
DEMO_00259,28,9,204.72,24.2,1,Demo Start,3,5,5,355,13,4.6,Client fidèle,Clients fidèles,Forte valeur,27.7,22.75,0.372,8.46,2,0,0.1375,2.0544,-0.7896
DEMO_00260,4,12,53.46,36.8,1,Demo Connect,5,5,3,553,13,4.0,Client fidèle,Champions,Valeur moyenne,37.0,4.45,0.326,1.45,2,0,0.0627,1.5782,-0.0378
DEMO_00261,31,7,105.24,34.3,2,Demo Flex,2,4,5,245,11,4.1,Client moyen,Ne doit pas les perdre,Forte valeur,35.8,15.03,0.204,3.07,2,0,0.1446,1.297,0.2193
DEMO_00262,50,13,98.85,39.0,2,Demo Start,1,5,5,155,11,4.2,Client moyen,Ne doit pas les perdre,Forte valeur,36.1,7.6,0.333,2.53,1,0,0.1383,1.4519,0.3946
DEMO_00263,36,3,17.94,11.0,1,Demo Start,2,2,1,221,5,1.5,Client à risque,Clients hibernants,Faible valeur,11.8,5.98,0.273,1.63,1,1,0.2586,-1.2661,-0.8669
DEMO_00264,10,7,97.89,49.3,3,Demo Start,5,4,5,545,14,4.7,Champion,Champions,Forte valeur,47.2,13.98,0.142,1.99,0,0,0.0831,1.4547,1.8356
DEMO_00265,22,6,100.63,51.1,1,Demo Start,3,4,5,345,12,4.3,Client fidèle,Clients fidèles,Forte valeur,50.9,16.77,0.118,1.97,2,1,0.0792,1.0285,1.6788
DEMO_00266,24,12,198.01,52.4,3,Demo Start,3,5,5,355,13,4.6,Client fidèle,Clients fidèles,Forte valeur,58.4,16.5,0.229,3.78,2,0,0.1276,2.6897,0.4836
DEMO_00267,21,6,67.35,26.8,2,Demo Start,3,4,4,344,11,3.8,Client fidèle,Clients fidèles,Forte valeur,27.4,11.23,0.224,2.51,2,0,0.1136,0.7545,0.7939
DEMO_00268,6,3,32.17,17.6,1,Demo Flex,5,2,2,522,9,2.6,Client moyen,Clients prometteurs,Valeur moyenne,15.9,10.72,0.17,1.82,3,0,0.0637,-0.0256,-0.4935
DEMO_00269,11,4,53.31,16.6,1,Demo Flex,4,2,3,423,9,2.9,Client moyen,Clients prometteurs,Valeur moyenne,17.4,13.33,0.242,3.22,3,1,0.12,0.1851,-0.1971
DEMO_00270,19,2,23.58,6.3,1,Demo Flex,4,1,2,412,7,2.1,Client moyen,Clients prometteurs,Faible valeur,5.3,11.79,0.316,3.73,3,0,0.1616,-1.2245,-1.1396
DEMO_00271,27,5,67.17,15.5,3,Demo Max,3,3,4,334,10,3.5,Client fidèle,Clients à développer,Forte valeur,13.6,13.43,0.323,4.34,3,0,0.211,-0.1473,0.393
DEMO_00272,14,1,11.16,2.4,1,Demo Flex,4,1,1,411,6,1.6,Client moyen,Nouveaux clients,Faible valeur,6.6,11.16,0.425,4.74,3,1,0.1975,-2.0996,-1.3911
DEMO_00273,3,1,15.86,5.6,3,Demo Flex,5,1,1,511,7,1.8,Client moyen,Clients prometteurs,Faible valeur,7.7,15.86,0.179,2.84,3,0,0.104,-0.4082,-1.1491
DEMO_00274,15,3,12.23,26.6,1,Demo Connect,4,2,1,421,7,1.9,Client moyen,Clients prometteurs,Faible valeur,27.3,4.08,0.113,0.46,3,0,0.0888,-1.9045,-0.0132
